[0T] Urinary System -- Body system (Urinary System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0T1] Urinary System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0T13073] Bypass Right Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T13074] Bypass Right Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T13076] Bypass Right Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T13077] Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T13078] Bypass Right Kidney Pelvis to Colon with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T13079] Bypass Right Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T1307A] Bypass Right Kidney Pelvis to Ileum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T1307B] Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T1307C] Bypass Right Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T1307D] Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J3] Bypass Right Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J4] Bypass Right Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J6] Bypass Right Kidney Pelvis to Right Ureter with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J7] Bypass Right Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J8] Bypass Right Kidney Pelvis to Colon with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130J9] Bypass Right Kidney Pelvis to Colocutaneous with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130JA] Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0T130JB] Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
